"animals","condition","elevator","lat","lon","quarter","price","rooms","size","url","distance_to_bud_center","nearest_stop_distance","nearest_stop_distance_rail"
"no","good","no",47.4650836,19.114546,9,135000,3,66,"https://ingatlan.jofogas.hu/budapest/3_szobasazonnal_Koltozheto_a_Klinikaknal_76333755.htm",5647.43125040374,49.6224001242692,412.54633600375
"no","renovated","no",47.495788,19.0778494,8,120000,1,40,"https://ingatlan.jofogas.hu/budapest/40_m2_es_szoba_kiado_angolul_beszelo_parnak_79015371.htm",2023.58946957573,29.1692596920509,29.1692596920509
"no","like new","yes",47.5380055,19.0690454,13,145000,1,40,"https://ingatlan.jofogas.hu/budapest/40_nm_es_lakas_kiado_a_XIII___Vizafogon_79110171.htm",5236.69971443877,76.5631337433465,76.5631337433465
"no","good","no",47.5923564,19.0427134,3,115000,2,42,"https://ingatlan.jofogas.hu/budapest/42_nm_es_lakas_kiado_kertes_hazban_79184973.htm",11135.0645569131,234.588870266276,716.315066410691
"no","like new","no",47.5016248,19.0595498,6,115000,1,45,"https://ingatlan.jofogas.hu/budapest/45_nm_es_belvarosi__egyszobas_lakas_76168867.htm",1186.80609782441,82.5829826850826,82.5829826850826
"no","good","no",47.514927,19.1295022,14,120000,2,47,"https://ingatlan.jofogas.hu/budapest/47_m_es_teglaepitesu_lakas_kiado_Zugloban_78167493.htm",6382.70868704397,286.076322223535,475.840578807513
"no","like new","no",47.5064565,19.0607315,6,150000,1,47,"https://ingatlan.jofogas.hu/budapest/4_6_os_vonalan_egyszobas_galerias_kis_rezsiju_lakas_a_koruton_kiado_78432820.htm",1705.1234107807,82.0936674087351,163.552671271293
"no","renovated","yes",47.4797508,19.0480023,8,130000,2,54,"https://ingatlan.jofogas.hu/budapest/4_6_os_vonalan_ket_kulon_nyilo_szobas_vilagos_csendes_lakas_kiado_78982823.htm",1441.92007615171,262.266994556359,270.903121201567
"only small pets","renovated","yes",47.5175394,19.0568947,13,110000,1,30,"https://ingatlan.jofogas.hu/budapest/4_6_villamosnal_csendes_1_szobas_fiatalos_felujitott_alacsony_rezsi_78307993.htm",2817.95414854338,107.468856810899,284.095221913384
"no","renovated","yes",47.56087,19.096369,4,120000,1,46,"https://ingatlan.jofogas.hu/budapest/4__kerulet__Pozsonyi_utca_6_kiado_lakas_79060993.htm",8328.11989835426,196.491289522709,442.635390174337
